date,neutral,rank_home,total_points_home,rank_change_home,rank_away,total_points_away,rank_change_away,winner,home_goals_avg,away_goals_avg,home_win_avg,away_win_avg,home_last_wins,away_last_wins,home_team_encoded,away_team_encoded,confederation_home_encoded,confederation_away_encoded,tournament_encoded
2000-01-19,False,139.0,214.0,1.0,73.0,454.0,0.0,0,0.0,0.0,0.0,0.0,0,0,141,76,2,2,42
2000-01-19,False,87.0,413.0,0.0,38.0,558.0,0.0,0,0.0,0.0,0.0,0.0,0,0,183,56,1,1,42
2000-01-20,False,74.0,453.0,3.0,86.0,421.0,0.0,0,0.0,0.0,0.0,0.0,0,0,31,2,1,1,42
2000-01-20,False,116.0,308.0,0.0,107.0,357.0,0.0,0,0.0,0.0,0.0,0.0,0,0,115,149,5,0,42
2000-01-23,True,38.0,558.0,0.0,36.0,571.0,0.0,0,0.0,0.0,0.0,0.0,0,0,56,200,1,1,6
2000-01-23,False,76.0,444.0,0.0,28.0,604.0,-3.0,0,0.0,0.0,0.0,0.0,0,0,133,185,1,1,6
2000-01-23,True,31.0,597.0,1.0,72.0,456.0,-2.0,0,0.0,0.0,0.0,0.0,0,0,167,67,1,1,6
2000-01-23,False,102.0,374.0,0.0,200.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0,0,197,75,0,0,2
2000-01-24,False,107.0,357.0,0.0,75.0,446.0,0.0,0,0.0,0.0,0.0,0.0,0,0,149,25,0,5,42
2000-01-25,True,25.0,613.0,1.0,94.0,396.0,0.0,0,0.0,0.0,0.0,0.0,0,0,123,44,1,1,6
2000-01-26,False,108.0,342.0,0.0,123.0,265.0,-8.0,0,0.0,0.0,0.0,0.0,0,0,189,105,1,1,42
2000-01-26,False,102.0,374.0,0.0,181.0,75.0,0.0,0,11.0,0.0,1.0,0.0,0,0,197,145,0,0,2
2000-01-26,False,4.0,753.0,0.0,32.0,589.0,0.0,0,0.0,0.0,0.0,0.0,0,0,170,146,5,5,42
2000-01-27,False,50.0,526.0,2.0,87.0,413.0,0.0,0,0.0,1.0,0.0,1.0,0,0,71,183,1,1,6
2000-01-28,True,57.0,501.0,-1.0,49.0,529.0,-4.0,0,0.0,0.0,0.0,0.0,0,0,34,91,1,1,6
2000-01-28,True,38.0,558.0,0.0,79.0,439.0,0.0,0,1.0,3.0,0.5,1.0,0,0,56,158,1,1,6
2000-01-29,True,181.0,75.0,0.0,200.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0,0,145,75,0,0,2
2000-01-29,True,86.0,421.0,0.0,72.0,456.0,-2.0,0,0.0,1.0,0.0,0.0,0,0,2,67,1,1,6
2000-01-31,False,82.0,428.0,0.0,109.0,339.0,0.0,0,0.0,0.0,0.0,0.0,0,0,98,176,0,0,42
2000-02-01,True,38.0,558.0,0.0,74.0,453.0,3.0,0,1.0,1.0,0.6666666666666666,0.5,0,0,56,31,1,1,6
2000-02-02,True,8.0,715.0,0.0,62.0,488.0,0.0,0,0.0,0.0,0.0,0.0,0,0,151,101,5,5,35
2000-02-02,False,64.0,481.0,0.0,23.0,618.0,0.0,0,0.0,1.0,0.0,0.0,0,0,46,40,2,3,42
2000-02-02,True,85.0,425.0,0.0,93.0,398.0,0.0,0,0.0,0.0,0.0,0.0,0,0,9,119,5,5,35
2000-02-02,False,63.0,488.0,0.0,51.0,524.0,1.0,0,0.0,0.0,0.0,0.0,0,0,49,107,5,5,35
2000-02-03,False,76.0,444.0,0.0,25.0,613.0,1.0,0,4.0,1.0,1.0,1.0,0,0,133,123,1,1,6
2000-02-03,True,28.0,604.0,-3.0,94.0,396.0,0.0,0,2.0,0.0,0.0,0.0,0,0,185,44,1,1,6
2000-02-04,False,63.0,488.0,0.0,85.0,425.0,0.0,0,2.0,2.0,1.0,1.0,0,0,49,9,5,5,35
2000-02-04,True,93.0,398.0,0.0,51.0,524.0,1.0,0,1.0,1.0,0.0,0.0,0,0,119,107,5,5,35
2000-02-04,True,8.0,715.0,0.0,66.0,475.0,0.0,0,2.0,0.0,1.0,0.0,0,0,151,69,5,5,35
2000-02-05,False,73.0,454.0,0.0,23.0,618.0,0.0,0,0.0,0.5,0.0,0.0,0,0,76,40,2,3,42
2000-02-06,True,66.0,475.0,0.0,85.0,425.0,0.0,0,1.0,2.0,0.0,0.5,0,0,69,9,5,5,35
2000-02-06,False,116.0,308.0,0.0,97.0,390.0,0.0,0,2.0,0.0,1.0,0.0,0,0,115,13,5,5,56
2000-02-06,False,63.0,488.0,0.0,8.0,715.0,0.0,0,2.5,1.5,1.0,1.0,0,0,49,151,5,5,35
